Collector,Higher taxon,Taxon,miss mC,miss mT,miss  man-D,miss ped-D,miss_FL,miss_HL,mc,mpp,mmp,mdp,mt,ppp,pmp,pdp,h,f,Museum - Coll. #,locality,notes,Sex/age,pf-H,pf-w,m1-L,m1-W,m2-L,m2-W,hm1,hm2,hm3,hm4,hm5,m2-5 av,hpp1,hpp1-w,hpp2,hpp2-w,hpp3,hpp3-w,hpp4,hpp4-w,hpp5,hpp5-w,hpp2-5 av,hmp2,hmp3,hmp4,hmp5,hmp2-5 av,hdp1,hdp2,hdp3,hdp4,hdp5,hdp2-5 av,HU(AP),HU(ML),notes,fm1,fm2,fm3,fm4,fm5,fm2-5 av,fpp1,fpp1-w,fpp2,fpp2-w,fpp3,fpp3-w,fpp4,fpp4-w,fpp5,fpp5-w,fpp2-5 av,fmp2,fmp3,fmp4,fmp5,fmp2-5 av,fdp1,fdp2,fdp3,fdp4,fdp5,fdp2-5 av,FE(AP),FE(ML),GM,ln GM,BM,ln BM,Ast-w,CW,CD,,radius L,Ulna L,PI,BZ,md3 length,md4 length,md3/md4,mc3/mc4,mc2/mc3,pd3 length,pd4 length,pd3/pd4,mt3/mt4,pp2/pp4,md3 prehens,md4 prehens,pd3 prehens,pd4 prehens,mc/mt,md/pd,mt3/pp3,mt1/mt3,Mpp3/ip3,Ppp3/ip3
"Boyer, D",Platyrrhini,Callicebus sp.,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 58973,zoo,,f/prime,7.23,3.82,3.62,3.39,3.74,3.25,11.69,15.97,17.36,16.79,14.62,,10.39,1.63,14.88,1.98,16.76,2.22,16.32,2.21,12.53,1.73,,9.07,11.5,11.92,8.59,,6.88,5.27,6.12,6.32,5.04,,5.11,5.25,,17.54,28.11,30.32,31.41,29.99,,10.27,2.24,17,1.84,18.85,2.31,18.49,2.37,14.4,1.65,,10.49,13.9,13.91,9.54,,6.61,7.13,6.89,6.8,5.62,,5.94,6.49,,,,,5.8,5.63,3.73,,,,,,51.74,51.35,1.00759493670886,1.03394877903514,0.919930875576037,69.96,70.61,0.990794505027617,0.965297675899395,0.91941590048675,1.6278801843318,1.68195354377606,1.08014511873351,1.03151862464183,0.572559366754617,0.73956546598056,1.60848806366048,0.578496042216359,1.45739130434783,1.35611510791367
"Boyer, D",Platyrrhini,Callimico goeldii,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 165377,zoo,,m/prime,4.3,2.87,na,na,na,na,9.41,14.1,15.9,15.3,13.6,,8.35,1.41,11.29,1.26,12.1,1.38,12.04,1.4,10.6,1.35,,7.35,8.36,8.23,6.31,,6.06,6.21,6.58,6.43,5.74,,4.19,4.13,,11.89,24.22,27.04,28.5,27.7,,6.7,1.26,12.22,1.38,13.4,1.44,13.5,1.46,11.87,1.32,,7.01,8.37,8.8,7.26,,3.53,6.5,7.35,7.16,6.1,,4.5,4.6,,,,,4.37,4.31,2.9,,,,,,42.94,42,1.02238095238095,1.03921568627451,0.886792452830189,56.16,57.96,0.968944099378882,0.948771929824561,0.905185185185185,1.28679245283019,1.32483660130719,0.805103550295858,0.782456140350877,0.58801775147929,0.76460113960114,2.01791044776119,0.439718934911243,1.44736842105263,1.60095579450418
"Boyer, D",Platyrrhini,Callimico goeldii,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 174406,zoo,,m/prime,4.56,2.87,2.78,2.78,2.7,2.29,9.69,14.6,16.23,16.25,14.27,,8.9,1.4,11.8,1.2,12.54,1.35,12.55,1.39,10.4,1.33,,7.02,8.45,8.6,6.3,,6.25,6.53,6.78,6.78,6.26,,3.8,3.92,,12.46,24.9,27.5,29.3,28.37,,7.11,1.46,12.99,1.33,14.06,1.48,14.05,1.49,12.21,1.49,,6.99,8.69,9.19,7.25,,3.82,6.6,7.23,7.6,6.4,,4.5,4.33,,,,,4.64,4.81,2.96,,,,,,44,44.18,0.995925758261657,0.998769230769231,0.899568699938386,57.48,60.14,0.955769870302627,0.938566552901024,0.924555160142349,1.29328404189772,1.30153846153846,0.827272727272727,0.793174061433447,0.590181818181818,0.765483646485734,1.95590327169275,0.453090909090909,1.48402366863905,1.61795166858458
"Boyer, D",Platyrrhini,Callimico goeldii,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 186835,zoo,,m/prime,4.06,2.88,2.42,2.42,2.6,2.29,9.82,14.28,15.14,14.84,13.36,,8.34,1.47,10.98,1.43,12.15,1.46,11.84,1.43,10.02,1.36,,6.83,7.52,8.04,5.9,,5.92,6.69,7.18,7.15,6.63,,4.16,4.12,,12.2,23.77,26.15,27.11,26.43,,6.36,1.46,12.35,1.48,12.62,1.54,13.77,1.65,11.8,1.5,,6.4,8.2,8.9,7.1,,3.48,6.6,7.6,8.09,7.27,,4.43,4.6,,,,,4.59,4.53,2.8,,,,,,41.99,41.87,1.0028660138524,1.02021563342318,0.943196829590489,54.57,57.87,0.942975635044064,0.964588712652158,0.896877269426289,1.29920739762219,1.33962264150943,0.796175908221797,0.83622279601623,0.578967495219885,0.769470404984424,2.07210776545166,0.466539196940727,1.6156914893617,1.5390243902439
,,Callimico goeldii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9766666666667,42.6833333333333,1.00705757483167,1.01940018348897,0.909852660786354,56.07,58.6566666666667,0.955896534908525,0.950642398459248,0.908872538251274,1.29309463078337,1.32199923478503,0.809517395263461,0.803950999266852,0.585722354960331,0.766518397023766,2.0153071616352,0.453116346980959,1.51569452635113,1.58597728444422
"Lemelin, P",Platyrrhini,Callithrix jacchus,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,AIZU 6437,,,Female,nm,nm,nm,nm,nm,nm,7.9,10.59,11.86,11.58,9.68,,7.34,nm,9.35,nm,10,nm,9.75,nm,8.44,nm,,5.43,6.54,6.71,5.42,,nm,nm,nm,nm,nm,,nm,nm,,9.92,18.53,19.76,21.22,20.1,,6.23,nm,9.83,nm,10.79,nm,10.43,nm,9.42,nm,,5.72,6.98,6.98,6.13,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,,na,na,na,1.02417962003454,0.8929173693086,na,na,na,0.93119698397738,na,na,na,na,na,0.600202429149798,na,1.83132530120482,0.502024291497976,na,na
"Lemelin, P",Platyrrhini,Callithrix jacchus,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,AIZU 6438,,,Female,nm,nm,nm,nm,nm,nm,7.97,10.58,11.49,11.07,8.48,,6.88,nm,8.49,nm,9.23,nm,8.87,nm,7.9,nm,,5.12,6.17,6.1,4.88,,nm,nm,nm,nm,nm,,nm,nm,,10.34,18.04,19.76,21.01,20.16,,5.24,nm,8.97,nm,9.96,nm,9.69,nm,8.67,nm,,5.11,6.09,6.59,5.6,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,,na,na,na,1.03794037940379,0.920800696257615,na,na,na,0.940504521656354,na,na,na,na,na,0.581477732793522,na,1.98393574297189,0.523279352226721,na,na
"Lemelin, P",Platyrrhini,Callithrix jacchus,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,AIZU 6439,,,,nm,nm,nm,nm,nm,nm,7.23,10.38,11.23,11.22,9.1,,6.17,nm,8.01,nm,8.65,nm,8.69,nm,7.33,nm,,5.03,6.05,5.69,4.6,,nm,nm,nm,nm,nm,,nm,nm,,9.26,17.48,19.09,20.59,19.06,,5.33,nm,8.51,nm,9.46,nm,9.36,nm,8.15,nm,,4.56,5.73,5.89,5.57,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,,na,na,na,1.00089126559715,0.924309884238647,na,na,na,0.927149101505585,na,na,na,na,na,0.588266107909901,na,2.01797040169133,0.485070717653222,na,na
"Lemelin, P",Platyrrhini,Callithrix jacchus,,yes,yes,yes,yes,yes,y,y,y,n,n,n,n,n,n,n,CMNH B1033,,,,nm,nm,nm,nm,nm,nm,7.92,10.59,11.94,11.28,9.12,,7.19,nm,8.96,nm,9.97,nm,9.54,nm,8.05,nm,,6.04,7.23,6.87,5.26,,nm,nm,nm,nm,nm,,nm,nm,,na,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,,na,na,na,na,na,,nm,nm,,,,,nm,nm,nm,,,,,,na,na,na,1.05851063829787,0.886934673366834,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"Lemelin, P",Platyrrhini,Callithrix jacchus,,yes,yes,yes,yes,yes,y,y,y,n,n,n,n,n,n,n,CMNH B1041,,,,nm,nm,nm,nm,nm,nm,7.14,10.3,11.1,11.14,9.18,,6.45,nm,8.38,nm,8.96,nm,8.71,nm,7.53,nm,,5.94,5.81,6.4,5.39,,nm,nm,nm,nm,nm,,nm,nm,,na,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,,na,na,na,na,na,,nm,nm,,,,,nm,nm,nm,,,,,,na,na,na,0.996409335727109,0.927927927927928,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"Lemelin, P",Platyrrhini,Callithrix jacchus,,yes,yes,yes,yes,yes,y,y,y,n,n,n,n,n,n,n,CMNH B1484,,,,nm,nm,nm,nm,nm,nm,7.41,10.2,11.35,11.34,9.37,,6.63,nm,8.27,nm,9.07,nm,8.95,nm,7.62,nm,,5.03,4.48,5.95,4.9,,nm,nm,nm,nm,nm,,nm,nm,,na,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,,na,na,na,na,na,,nm,nm,,,,,nm,nm,nm,,,,,,na,na,na,1.00088183421517,0.898678414096916,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"Boyer, D",Platyrrhini,Callithrix jacchus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 135743,zoo,,m/dentally senescent,3.8,2.7,2.34,2.04,1.92,1.67,8.7,11.15,12.8,12.2,10.3,,7.43,1.13,9.65,1.17,10.6,1.27,9.82,1.2,8.83,1.11,,6.02,6.85,6.82,5.91,,5.36,5.73,6.06,5.78,4.8,,3.76,3.42,,11.14,20.12,22.16,23.24,22.51,,5.93,0.9,9.85,1.05,10.87,1.12,11.14,1.22,9.61,1.14,,5.63,6.87,6.97,5.79,,3.04,5.19,6.08,5.72,na,,3.8,3.7,,,,,3.7,3.73,2.47,,,,,,36.31,34.62,1.04881571346043,1.04918032786885,0.87109375,45.98,47.07,0.97684299978755,0.953528399311532,0.884201077199282,1.36328125,1.36393442622951,0.800541516245487,0.779259896729776,0.577617328519856,0.789691170073945,2.03863845446182,0.502707581227437,1.54744525547445,1.58224163027656
"Boyer, D",Platyrrhini,Callithrix jacchus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 53734,zoo,,m/prime,3.2,2.4,2.26,2.08,2.02,1.8,8.3,11.1,12.4,11.97,9.55,,7.1,1.22,9.45,1.12,10.19,1.1,9.56,1.01,8.14,1.05,,5.77,6.7,6.8,5.5,,4.98,4.56,5.28,5.14,5.01,,3.36,3.46,,10.41,18.83,21.42,22.42,20.95,,6.34,0.97,9.77,0.99,10.25,1.15,10.52,1.12,9.31,1.07,,5.22,6.9,7.2,5.93,,3.2,4.69,5.2,5.1,5.01,,3.57,3.67,,,,,3.29,3.46,2.05,,,,,,34.57,33.47,1.03286525246489,1.0359231411863,0.895161290322581,43.77,45.24,0.967506631299735,0.955396966993756,0.928707224334601,1.36209677419355,1.36675020885547,0.800653594771242,0.790365744870651,0.578898225957049,0.789810372401188,2.08975609756098,0.485994397759104,1.52089552238806,1.48550724637681
"Boyer, D",Platyrrhini,Callithrix jacchus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 60548,zoo,,f/prime,3.78,2.44,2.21,1.98,1.75,1.7,8.34,11.3,12.38,12.3,9.76,,7.49,1.08,9.5,1.12,10.6,1.07,9.8,1.05,8.3,1.16,,6.2,7.1,6.85,5.85,,5.36,4.99,5.19,4.95,4.95,,3.36,3.12,,10.7,19.27,21.73,22.46,21.65,,6.15,0.92,9.77,0.98,10.6,1.09,10.7,1.01,9.61,1.09,,5.94,6.9,7.3,6.01,,3.1,5.09,5.28,5.25,4.93,,3.47,3.6,,,,,na,3.32,2.4,,,,,,35.27,33.9,1.04041297935103,1.00650406504065,0.912762520193861,44.51,45.71,0.973747538831766,0.967497773820125,0.913084112149533,1.4297253634895,1.35365853658537,0.805338242061666,0.801424755120214,0.569719282098481,0.792406200853741,2.05,0.492406810860561,1.49295774647887,1.53623188405797
"Lemelin, P",Platyrrhini,Callithrix jacchus,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,RMNH 1876,,,Male,nm,nm,nm,nm,nm,nm,8.47,11.38,12.8,12.52,9.92,,7.7,nm,9.46,nm,10.27,nm,10.12,nm,8.64,nm,,6.37,7.26,7.05,6.03,,nm,nm,nm,nm,nm,,nm,nm,,11.08,20.96,22.62,23.71,21.9,,6.86,nm,10.53,nm,11.72,nm,11.4,nm,10.24,nm,,6.21,7.32,7.71,6.9,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,,na,na,na,1.0223642172524,0.8890625,na,na,na,0.954027836355968,na,na,na,na,na,0.565870910698497,na,1.93003412969283,0.489832007073386,na,na
"Lemelin, P",Platyrrhini,Callithrix jacchus,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,RMNH 1877,,,Male,nm,nm,nm,nm,nm,nm,7.65,11.13,12.2,11.52,9.6,,7.21,nm,9.13,nm,10.09,nm,9.62,nm,8.11,nm,,5.76,6.82,6.46,5.58,,nm,nm,nm,nm,nm,,nm,nm,,10.13,18.23,20.79,21.65,20.67,,5.6,nm,9.15,nm,10.6,nm,10.3,nm,9.17,nm,,5.76,6.65,7.1,6.17,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,,na,na,na,1.05902777777778,0.912295081967213,na,na,na,0.960277136258661,na,na,na,na,na,0.586820586820587,na,1.96132075471698,0.487253487253487,na,na
,,Callithrix jacchus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3833333333333,33.9966666666667,1.04069798175879,1.02652841840015,0.902904009789109,44.7533333333333,46.0066666666667,0.972699056639684,0.94869733998492,0.908664137894472,1.38503446256102,1.36144772389012,0.802177784359465,0.790350132240214,0.581109075493461,0.790635914442958,1.98787261028758,0.496071080693987,1.52043284144713,1.53466025357045
"Boyer, D",Platyrrhini,Cebus albifrons,,,yes,yes,,,y,y,y,n,y,y,y,n,y,y,FMNH 98043,"Peru, Madre de Dios, Manu",,m/prime,8.8,6.2,4.7,4.8,4.3,4.41,19.4,26.15,26.7,25.16,20.92,,15.34,2.91,20.37,3.03,21.6,3.58,21.2,3.23,17,2.98,,13.7,15.05,14.44,11.06,,na,na,na,na,na,,8.8,8.36,,28.8,40.2,42.4,43.1,39.3,,14.37,4.1,22.2,2.78,22.65,3.05,21.99,3.46,18.27,2.6,,13.16,14.81,14.9,11.45,,na,na,na,na,na,,9.6,8.8,,,,,8.34,9.48,6.38,,,,,,na,na,na,1.06120826709062,0.97940074906367,na,na,na,0.983758700696056,na,na,na,na,na,0.629716981132076,na,1.8719646799117,0.679245283018868,na,na
"Boyer, D",Platyrrhini,Cebus albifrons malitiosus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 18867,"Colombia, Magdalena",,?M/prime,8.89,6.1,4.18,4.45,3.9,4.12,20.2,28.97,27.5,26.85,22.68,,15.87,2.88,22.87,3.16,22.94,3.12,21.73,2.98,18.06,2.58,,14.46,15.79,15.86,12.11,,10.35,10.12,10.48,10.4,9.02,,8.73,8.38,,32.13,42.1,44.61,45.54,42.07,,16.15,4.08,20.9,2.89,22.63,3,22.78,3.07,19.25,2.44,,15.14,16.49,16.25,11.91,,11.36,11.38,10.6,10.4,8.63,,8.72,8.53,,,,,8.76,9.01,6.24,,,,,,76.71,74.84,1.02498663816141,1.02420856610801,1.05345454545455,94.33,94.97,0.993261029798884,0.979578392621871,0.91747146619842,1.40836363636364,1.4,0.876933422999327,0.857048748353096,0.616453709930509,0.813208947312626,1.9712770658418,0.720242098184264,1.45281823939202,1.37234687689509
,,Cebus albifrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.71,74.84,1.02498663816141,1.04270841659931,1.01642764725911,94.33,94.97,0.993261029798884,0.981668546658963,0.91747146619842,1.40836363636364,1.4,0.876933422999327,0.857048748353096,0.623085345531292,0.813208947312626,1.92162087287675,0.699743690601566,1.45281823939202,1.37234687689509
"Boyer, D",Platyrrhini,Cebus apella,,,,,,,y,y,y,y,y,y,y,y,y,y,BAA 0098,Zoo,measured from scan - CHECKED TO MAKE SURE SCALE IS ACCURATE,F/prime,6.32,4.99,na,na,na,na,16.26,22,22.23,21.37,18.66,,13.5,1.98,17.75,2.41,18.53,2.71,18.06,2.71,15.05,2.11,,11.01,11.86,12.04,10.7,,8.61,7.57,7.77,7.7,7.24,,6.58,6.89,,23.6,33.49,34.52,33.76,32.1,,14.19,2.89,19.19,2.24,19.49,2.65,18.78,2.47,15.78,2,,12.18,12.95,13.24,10.28,,9.77,na,9.39,9.22,7.69,,7.36,7.11,,,,,7.15,7.59,5.33,,,,,,60.39,59.17,1.02061855670103,1.04024333177351,0.989653621232569,76.35,75,1.018,1.02251184834123,1.02183173588924,1.36707152496626,1.408516612073,0.939745075318656,0.948459715639811,0.643974507531866,0.790962671905697,1.77116469984608,0.683661645422943,1.56239460370995,1.50501930501931
"Boyer, D",Platyrrhini,Cebus apella,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 60751,zoo,,m/prime,9.1,6.73,4.52,5.2,4.3,4.7,19.4,26.6,26.13,25.07,22.9,,14.86,2.92,20.7,3.54,21.1,3.63,20.81,3.4,17.7,3.2,,13.61,13.54,13.64,11.51,,9.67,8.9,9,8.75,8.05,,9.7,9.16,,28.12,39.02,38.78,40.22,38.21,,16.24,3.49,21.54,2.8,21.98,3.18,21.38,2.93,17.49,2.54,,13.24,13.57,13.91,10.82,,10.79,10.71,9.62,9.32,7.85,,9.3,8.6,,,,,8.6,9.2,6.17,,,,,,69.77,68.27,1.02197158341878,1.04228161148783,1.01798698813624,83.95,84.83,0.989626311446423,0.964196916956738,1.00748362956034,1.32567929582855,1.37415237335461,0.916709644146467,0.877424167081054,0.673800928313564,0.831089934484812,1.76433121019108,0.725116039195462,1.55834564254062,1.61974944731024
"Boyer, D",Platyrrhini,Cebus apella,,,yes,yes,,,y,y,y,n,y,y,y,n,y,y,FMNH 93261,"Suriname, Nickerie",,m/prime,8.4,6.2,4.89,5.01,4.28,4.85,18.2,24.58,23.68,23.39,21.26,,13.82,2.86,19.97,3.03,21.34,3.41,20.43,3.2,17.82,2.71,,12.17,13.32,13.63,11.54,,na,na,na,na,na,,7.99,8.68,,25.28,35.23,37.39,38.63,37.31,,14.08,4.33,20.53,2.54,21.42,2.94,21.48,3.29,18.04,2.57,,12.66,13.69,13.79,11.07,,na,na,na,na,na,,8.83,9.01,,,,,8.4,8.71,6.58,,,,,,na,na,na,1.01239846088072,1.03800675675676,na,na,na,0.967900595392182,na,na,na,na,na,0.633324418293661,na,1.74556489262372,0.676116608718909,na,na
"Boyer, D",Platyrrhini,Cebus apella,,,yes,yes,,,y,y,y,n,y,y,y,n,y,y,FMNH 98046,"Peru, Madre de Dios, Manu",,m/prime,9.24,6.52,5.13,5.4,4.66,4.75,18.17,25.33,25.77,24.65,22.2,,13.73,2.56,18.89,2.6,21.07,3.09,20.22,2.86,16.65,2.61,,11.86,13.09,13.24,10.44,,na,na,na,na,na,,8.36,8.55,,26.52,35.24,39.06,39.3,37.48,,14.66,4.06,20.69,2.99,20.47,2.77,20.47,2.95,16.9,2.6,,12.23,13.55,14.02,10.54,,na,na,na,na,na,,8.68,8.8,,,,,8.7,8.92,5.97,,,,,,na,na,na,1.04543610547667,0.982925882809468,na,na,na,0.993893129770993,na,na,na,na,na,0.659754224270353,na,1.90815828041036,0.678955453149002,na,na
,,Cebus apella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.08,63.72,1.0212950700599,1.03508987740469,1.00714331223376,80.15,79.915,1.00381315572321,0.987125622615286,1.01465768272479,1.34637541039741,1.3913344927138,0.928227359732561,0.912941941360432,0.652713519602361,0.811026303195255,1.79730477076781,0.690962436621579,1.56037012312529,1.56238437616477
"Boyer, D",Platyrrhini,Cebus capucinus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 159982,zoo,,m/dentally senescent,8.84,6.9,4.7,4.8,4.6,4.8,18.88,26.7,26.36,25.36,22.2,,15.2,2.83,20.06,3.26,22.45,3.39,21.2,3.14,17.88,2.78,,13.37,14.68,14.39,12.13,,9.8,8.6,8.79,8.7,7.72,,9.4,9.92,,27.3,38.53,40.07,40.93,38.72,,15.42,3.97,21.38,3.07,22.45,3.34,21.83,3.26,18.7,2.67,,13.8,15.35,15.35,12.7,,10.03,8.92,9.7,9.67,8.39,,10.81,10.08,,,,,8.62,8.63,6.67,,,,,,72.28,69.65,1.03776022972003,1.03943217665615,1.01289833080425,87.57,87.78,0.997607655502392,0.97898851698021,0.979386165826844,1.40857359635812,1.40339116719243,0.943349139006738,0.908380161250916,0.657848764661842,0.825396825396826,1.78485523385301,0.681307711504867,1.52929155313352,1.46254071661238
"Boyer, D",Platyrrhini,Chiropotes sp.,,,,,,,y,y,y,y,y,y,y,y,y,y,SBU Green-Pin,,,,10.05,6.2,,,,,18.3,22.23,24.6,24.4,21.8,,14.48,3.21,19.09,3.84,21.49,4.07,21.89,4.01,18.04,3.38,,11.18,14.58,15.61,12.24,,9.65,6.1,7.14,7.49,6.61,,9.27,8.29,,23,36.3,39.04,41.67,42.9,,13.39,3.14,19.96,3.09,21.88,3.54,22.01,3.4,19.4,3.07,,12.34,14.7,16.15,12.74,,9.8,7.23,7.79,8.43,7.54,,8.84,9.12,,,,,8.62,8.21,5.81,,,,,,67.81,69.39,0.977230148436374,1.00819672131148,0.903658536585366,83.41,88.26,0.94504871969182,0.936885049196064,0.906860517946388,1.46626016260163,1.53688524590164,0.936987704918033,0.915766738660907,0.630122950819672,0.812972065699556,1.78427787934186,0.589139344262295,1.47393689986283,1.48843537414966
"Boyer, D",Platyrrhini,Chiropotes satans chiropotes,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 93255,"Suriname, Nickerie",,m/dentally senescent,9.39,6.03,3.71,4.21,3.62,4.11,17.75,22.35,24.48,24.3,21.44,,13.24,2.59,19.1,2.93,21.94,3.15,21.86,3.12,17.4,2.53,,10.45,14.07,14.25,11.34,,8.57,5.66,6.17,6.64,6.29,,7.58,7.19,,22.73,35.63,37.13,39.49,40.77,,14.46,2.46,19.98,2.69,22.17,3.12,22.39,3.11,19.97,2.62,,12.12,13.18,15.34,11.27,,9.07,7.35,7.19,7.99,6.79,,7.85,8.05,,,,,8.6,8.19,5.97,,,,,,66.66,67.05,0.994183445190157,1.00740740740741,0.912990196078432,79.67,85.21,0.934984156789109,0.940238034945556,0.892362661902635,1.47099673202614,1.48600823045268,0.952060328575276,0.955431754874652,0.659305144088338,0.836701393247144,1.67478574650429,0.612173444653919,1.55934612651031,1.68209408194234
"Boyer, D",Platyrrhini,Chiropotes satans chiropotes,,,yes,yes,,,y,y,y,n,y,y,y,n,y,y,FMNH 95512,"Suriname, Brokopondo",,m/prime,9.71,5.96,3.66,3.74,3.58,3.74,17.98,22.27,24.13,24.01,22.05,,14.17,2.8,19.9,2.95,23.27,3.33,22.72,3.27,18.15,2.65,,11.73,14.33,15,12.14,,na,na,na,na,na,,6.99,7.16,,23.81,35.3,37.25,39.6,41.03,,na,2.79,21.03,2.4,23.43,2.8,23.83,2.91,20.9,2.56,,13.62,15.1,16.47,na,,na,na,na,na,na,,7.84,7.16,,,,,8.37,7.91,6.09,,,,,,na,na,na,1.00499791753436,0.922917530045586,na,na,na,0.940656565656566,na,na,na,na,na,0.647785234899329,na,1.58984208279983,0.639194630872483,na,na
"Boyer, D",Platyrrhini,Chiropotes sp.,,,yes,yes,,,y,y,y,n,y,y,y,n,y,y,FMNH 127402,zoo,,?/erupting m3,6.27,4.05,3.67,3.57,3.88,3.83,13.47,16.69,19.84,19.87,17.49,,10.93,1.87,16.05,2.22,19.41,2.54,20.19,2.65,15.56,1.98,,10.36,14.24,15.27,11.36,,na,na,na,na,na,,5.12,5.76,,23.23,32.67,34.65,35.41,33.89,,12.68,2.41,18.82,1.95,20.19,2.24,21.07,2.46,17.07,2,,12.68,15.03,15.89,12.04,,na,na,na,na,na,,5.97,6.77,,,,,6.83,6.81,4.34,,,,,,na,na,na,0.998490186210367,0.841229838709678,na,na,na,0.978537136402146,na,na,na,na,na,0.572582972582973,na,1.71619613670134,0.670418470418471,na,na
,,Chiropotes sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.235,68.22,0.985706796813265,1.0047730581159,0.895199025354765,81.54,86.735,0.940016438240465,0.949079196550083,0.899611589924512,1.46862844731388,1.51144673817716,0.944524016746654,0.935599246767779,0.627449075597578,0.82483672947335,1.69127546133683,0.627731472551792,1.51664151318657,1.585264728046
"Boyer, D",Platyrrhini,Lagothrix lagotricha,,,,,,,y,y,y,y,y,y,y,y,y,y,BAA 0090,,BL dimensions of teeth damaged,m/prime,8.3,7.2,5.25,5,5.7,5.2,21.3,30.87,32.52,32.7,30.26,,18.3,3.4,27.03,3.95,31.34,4.1,30.34,4.03,26.26,3.41,,16.38,20.37,20.65,18.32,,11.47,9.92,10.78,10.88,10.28,,10.63,10.88,,31.41,42.88,43.06,42,42.79,,18.57,3.36,28.07,3.52,29.76,3.76,30.78,3.48,27.81,3.21,,17.06,17.77,18.96,17.09,,11.59,10.13,10.5,10.85,10.5,,11.9,10.66,,,,,10.2,11.6,8.08,,,,,,95.01,94.57,1.00465263825738,0.994495412844037,0.949261992619926,101.09,102.59,0.9853786918803,1.0252380952381,0.911955815464587,1.59009840098401,1.55932721712538,1.10380863910822,1.18428571428571,0.755225267069206,0.939855574240776,1.44690860215054,0.729447282861124,1.53853706431026,1.67473269555431
"Boyer, D",Platyrrhini,Lagothrix lagotricha,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 57181,zoo,,f/prime,7.7,7.07,5.2,5.55,5.56,5.58,23.51,33.81,36.22,35.16,32.75,,20.5,3.5,29.48,4.44,34.2,4.44,33.21,4.27,29.35,3.7,,18.7,22.29,22.03,19.6,,15.16,10.09,11.1,11.2,8.72,,10.11,10.5,,34.25,48.8,46.6,47.5,47.7,,18.7,3.86,30.32,3.77,31.57,3.65,32.3,3.49,29.8,3.01,,19.33,19.44,21.54,17.4,,12.53,11.14,11.72,12.17,10.05,,10.9,11.03,,,,,10.5,11.17,7.9,,,,,,103.81,101.6,1.02175196850394,1.03014789533561,0.933462175593595,109.33,113.51,0.96317505065633,0.981052631578947,0.938699690402477,1.55963556046383,1.57110352673493,1.09463519313305,1.13347368421053,0.77725321888412,0.949510655812677,1.47608489071904,0.734978540772532,1.53432032301481,1.62397119341564
