Collector,Higher taxon,Taxon,miss mC,miss mT,miss  man-D,miss ped-D,miss_FL,miss_HL,mc,mpp,mmp,mdp,mt,ppp,pmp,pdp,h,f,Museum - Coll. #,locality,notes,Sex/age,pf-H,pf-w,m1-L,m1-W,m2-L,m2-W,hm1,hm2,hm3,hm4,hm5,m2-5 av,hpp1,hpp1-w,hpp2,hpp2-w,hpp3,hpp3-w,hpp4,hpp4-w,hpp5,hpp5-w,hpp2-5 av,hmp2,hmp3,hmp4,hmp5,hmp2-5 av,hdp1,hdp2,hdp3,hdp4,hdp5,hdp2-5 av,HU(AP),HU(ML),notes,fm1,fm2,fm3,fm4,fm5,fm2-5 av,fpp1,fpp1-w,fpp2,fpp2-w,fpp3,fpp3-w,fpp4,fpp4-w,fpp5,fpp5-w,fpp2-5 av,fmp2,fmp3,fmp4,fmp5,fmp2-5 av,fdp1,fdp2,fdp3,fdp4,fdp5,fdp2-5 av,FE(AP),FE(ML),GM,ln GM,BM,ln BM,Ast-w,CW,CD,,radius L,Ulna L,PI,BZ,md3 length,md4 length,md3/md4,mc3/mc4,mc2/mc3,pd3 length,pd4 length,pd3/pd4,mt3/mt4,pp2/pp4,md3 prehens,md4 prehens,pd3 prehens,pd4 prehens,mc/mt,md/pd,mt3/pp3,mt1/mt3,Mpp3/ip3,Ppp3/ip3
"Yapuncich, G",Hominoidea,Gorilla gorilla gorilla,,,,,,,,,,,,,,,,,AMNH 90290,,from Sergio,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,78.5,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Gorilla gorilla gorilla,,,,,,,,,,,,,,,,,AMNH 167337,,from Sergio,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,69.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,69.4,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Gorilla gorilla gorilla,,,,,,,,,,,,,,,,,AMNH 167340,,from Sergio,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,66.1,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
,,Gorilla gorilla gorilla,,,,,,,,,,,,,,,,,AMNH 214103,,,,,,,,,,,96,95,92,,,,,,,63,,59,,,,,,43,42,,,,,24,21,,,,,,61,,82,81,,,,,41.1,,46,,45,,,,,,30,29,,,,,15,15.2,,,,,,,,,,30,23,,,,,,225,214,1.05140186915888,1.03260869565217,1.01052631578947,173,170.2,1.01645123384254,1.01234567901235,0.913333333333333,1.11578947368421,1.09782608695652,0.926829268292683,0.91358024691358,1.15853658536585,1.30057803468208,1.78260869565217,0.74390243902439,1.46511627906977,1.53333333333333
,,Pongo pygmaeus,,,,,,,,,,,,,,,,,USNM 153805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,21,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
,,Pongo pygmaeus,,,,,,,,,,,,,,,,,AMNH 200898,,,,,,,,,,,82,82,79,,,,,,,61,,59,,,,,,40,38,,,,,17,18,,,,,,37.1,,78,72.3,,,,,53.2,,59,,58.5,,,,,,34,33.2,,,,,17,17.4,,,,,,,,,,19,11,,,,,,200,194,1.03092783505155,1.0379746835443,1,188,181.4,1.03638368246968,1.07883817427386,0.90940170940171,1.23170731707317,1.22784810126582,1.19230769230769,1.26832641770401,1.05128205128205,1.06382978723404,1.32203389830508,0.475641025641026,1.525,1.73529411764706
"Yapuncich, G",Hominoidea,Pongo pygmaeus,,,,,,,,,,,,,,,,,AMNH 7128,,from Sergio,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,,102.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,102.9,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Pongo pygmaeus,,,,,,,,,,,,,,,,,AMNH 12706,,from Sergio,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8,,82.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,82.9,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Pongo pygmaeus,,,,,,,,,,,,,,,,,AMNH 37698,,from Sergio,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,99.9,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Pongo pygmaeus,,,,,,,,,,,,,,,,,AMNH 37726,,from Sergio,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,,99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,99.4,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
