Collector,Higher taxon,Taxon,miss mC,miss mT,miss  man-D,miss ped-D,miss_FL,miss_HL,mc,mpp,mmp,mdp,mt,ppp,pmp,pdp,h,f,Museum - Coll. #,locality,notes,Sex/age,pf-H,pf-w,m1-L,m1-W,m2-L,m2-W,hm1,hm2,hm3,hm4,hm5,m2-5 av,hpp1,hpp1-w,hpp2,hpp2-w,hpp3,hpp3-w,hpp4,hpp4-w,hpp5,hpp5-w,hpp2-5 av,hmp2,hmp3,hmp4,hmp5,hmp2-5 av,hdp1,hdp2,hdp3,hdp4,hdp5,hdp2-5 av,HU(AP),HU(ML),notes,fm1,fm2,fm3,fm4,fm5,fm2-5 av,fpp1,fpp1-w,fpp2,fpp2-w,fpp3,fpp3-w,fpp4,fpp4-w,fpp5,fpp5-w,fpp2-5 av,fmp2,fmp3,fmp4,fmp5,fmp2-5 av,fdp1,fdp2,fdp3,fdp4,fdp5,fdp2-5 av,FE(AP),FE(ML),GM,ln GM,BM,ln BM,Ast-w,CW,CD,,radius L,Ulna L,PI,BZ
"Yapuncich, G",Cercopithecoidea,Colobus polykomos,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 60482,,,,12.6,7.54,6.68,5.01,6.71,5.75,18.88,37.74,41.00,41.24,36.47,,4.92,3.59,26.86,3.91,32.53,4.68,32.04,4.53,27.99,3.75,,16.82,22.22,22.05,17.78,,4.16,7.74,10.12,10.33,8.99,,10.72,9.86,,34.46,49.8,55.42,57.58,53.55,,17.22,3.44,27,3.2,35.8,4.61,34.13,4.45,27.26,3.6,,15.25,23.66,24.41,16.89,,6.35,8.33,12.61,12.49,8.94,,11.42,13.73,,,,,13.25,14.09,6.6,,,,,
"Yapuncich, G",Cercopithecoidea,Erythrocebus patas,,,yes,yes,,,y,y,n,n,y,y,n,n,y,y,FMNH 60677,,,F,na,na,5.90,4.42,7.75,5.88,--,34.57,35.43,35.24,29.9,,na,na,12.23,3.25,19.28,3.73,19.47,4.10,16.58,3.55,,na,na,na,na,,na,na,na,na,na,,16.23,10.42,,26.97,48.1,48.77,48.79,47.34,,na,na,17.56,2.98,21.26,3.77,20.83,3.29,16.73,2.76,,na,na,na,na,,na,na,na,na,na,,11.31,14.47,,,,,10.72,11.89,7.08,,,,,
"Yapuncich, G",Cercopithecoidea,Erythrocebus patas,,,,,,,y,y,y,y,y,y,y,y,y,y,UWBM 81037,,,,11.19,7.97,,,,,17.2,34.30,34.50,32.80,30.6,,9.38,2.46,15.90,2.97,18.87,4.00,18.70,3.66,15.34,3.03,,8.67,11.92,11.73,7.97,,5,6.19,6.94,6.68,5.83,,13.1,9.93,,21.2,45.5,46.6,45.5,45.2,,11.62,2.39,16.56,3.06,20.3,3.68,19.2,3.41,15.83,2.71,,9.25,12.63,12.12,8.43,,5.73,6.15,7.71,7.46,6.19,,11.29,10.88,,,,,10.67,10.72,8,,,,,
"Yapuncich, G",Cercopithecoidea,Lophocebus albigena,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 47048,,,M,11.76,8.69,6.78,5.65,7.01,7.19,23.16,38.66,39.67,39.66,35.75,,14.96,3.73,27.73,5.29,31.88,5.6,30.88,5.51,25.07,4.23,,16.2,20.01,19.03,15.14,,7.69,9.26,10.25,10.71,9.94,,12.7,11.62,,39.83,53.62,57.93,58.74,56.4,,18.15,5.12,28.6,4.2,34.84,5,33.31,4.83,27.3,3.79,,14.98,20,19.66,14.74,,10.34,8.71,10.57,10.82,9.71,,12.62,12.41,,,,,12.01,11.32,6.53,,,,,
"Yapuncich, G",Cercopithecoidea,Macaca arctoides,,,yes,yes,,,y,y,n,n,y,y,n,n,y,y,FMNH 105682,,,M,12.72,8.34,8.11,6.17,9.42,6.96,25.9,40.24,39.83,36.12,34.42,,na,na,26.59,4.86,32.46,5.15,31.33,4.91,26.39,4.77,,na,na,na,na,,na,na,na,na,na,,11.41,12.05,,35.1,49.96,51.83,51.4,51.39,,na,na,29.02,4.05,32.93,4.52,31.57,4.82,25.94,4.14,,na,na,na,na,,na,na,na,na,na,,11.45,11.66,,,,,12.56,art,art,,,,,
"Yapuncich, G",Cercopithecoidea,Macaca arctoides,,,yes,yes,,,y,y,n,n,y,y,n,n,y,y,FMNH 106583,,,M,11.51,7.09,8.62,6.52,9.52,8.34,23.24,39.59,37.82,36.81,34.43,,na,na,25.44,4.89,28.98,5.37,29.49,5.3,24.33,4.41,,na,na,na,na,,na,na,na,na,na,,10.51,12.51,,31.72,45.07,47.45,47.43,45.91,,na,na,24.91,3.99,29.05,4.66,29.82,4.63,26.42,3.85,,na,na,na,na,,na,na,na,na,na,,11.06,12.16,,,,,11.76,11.06,6.95,,,,,
"Yapuncich, G",Cercopithecoidea,Macaca arctoides,,,yes,yes,,,y,n,n,n,y,y,n,n,y,y,FMNH 99367,,,F,10.15,6.22,7.36,5.74,8.66,6.90,21.41,41.63,44.71,45.17,43.14,,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,,na,na,na,na,na,,11.04,12.45,,30.89,42.18,44.17,44.13,44.27,,14.65,4.68,24.02,3.43,27.24,4.4,27.09,4.32,22.61,3.55,,na,na,na,na,,na,na,na,na,na,,10.97,11.24,,,,,11.27,10.51,5.64,,,,,
"Yapuncich, G",Cercopithecoidea,Macaca assamensis,,,yes,yes,,,y,y,n,n,y,y,n,n,y,y,FMNH 99622,,,M,10.92,7.14,7.31,5.78,8.54,6.52,23.9,40.26,39.46,37.66,34.97,,na,na,26.42,4.41,32.31,5.48,31.29,4.91,25.66,4.43,,na,na,na,na,,na,na,na,na,na,,12.03,12.82,,33,45.92,49.45,46.58,46.15,,na,na,27.31,3.55,34.15,4.58,33.39,4.55,26.01,3.99,,na,na,21.16,na,,na,na,na,na,na,,11.12,11.44,,,,,10.53,art,art,,,,,
"Yapuncich, G",Cercopithecoidea,Macaca fuscatus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 53867,,,M,12.54,7.45,7.40,5.57,8.55,6.44,21.74,34.98,36.41,34.21,31.05,,12.59,3.69,21.40,4.60,26.64,5.22,24.18,4.74,19.78,4.14,,14.02,17.23,17.29,13.55,,5.11,9.51,11.28,11.00,9.44,,13.69,9.63,,31.87,43.67,47.15,47.51,48.28,,16.4,4.41,22.53,4.18,27.78,4.8,25.83,4.57,21.51,3.85,,14.39,19.43,18.35,14.38,,7.18,9.72,11.3,11.79,9.64,,12.17,12.06,,,,,12.38,11.73,5.81,,,,,
"Yapuncich, G",Cercopithecoidea,Macaca nemestrina,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 57178,,,M,11.92,8.08,7.79,5.59,8.96,6.36,28.22,39.08,39.92,39.88,37.24,,16.34,4.96,26.27,6.00,30.47,6.41,29.70,6.06,24.63,5.09,,16.40,20.10,20.51,16.73,,7.48,9.11,10.36,10.85,10.16,,14.04,14.51,,38.21,51.72,53.38,53.04,51.09,,18.61,6.48,26.81,4.76,30.95,5.72,29.19,5.39,24.85,4.75,,15.84,20.18,20.19,16.01,,10.2,9.91,11.38,11.83,11.3,,15.37,13.23,,,,,11.76,12.24,7.2,,,,,
