Collector,Higher taxon,Taxon,miss mC,miss mT,miss  man-D,miss ped-D,miss_FL,miss_HL,mc,mpp,mmp,mdp,mt,ppp,pmp,pdp,h,f,Museum - Coll. #,locality,notes,Sex/age,pf-H,pf-w,m1-L,m1-W,m2-L,m2-W,hm1,hm2,hm3,hm4,hm5,m2-5 av,hpp1,hpp1-w,hpp2,hpp2-w,hpp3,hpp3-w,hpp4,hpp4-w,hpp5,hpp5-w,hpp2-5 av,hmp2,hmp3,hmp4,hmp5,hmp2-5 av,hdp1,hdp2,hdp3,hdp4,hdp5,hdp2-5 av,HU(AP),HU(ML),notes,fm1,fm2,fm3,fm4,fm5,fm2-5 av,fpp1,fpp1-w,fpp2,fpp2-w,fpp3,fpp3-w,fpp4,fpp4-w,fpp5,fpp5-w,fpp2-5 av,fmp2,fmp3,fmp4,fmp5,fmp2-5 av,fdp1,fdp2,fdp3,fdp4,fdp5,fdp2-5 av,FE(AP),FE(ML),GM,ln GM,BM,ln BM,Ast-w,CW,CD,,radius L,Ulna L,PI,BZ
"Boyer, D",Platyrrhini,Pithecia pithecia,,,yes,yes,,,y,y,n,n,y,y,n,n,y,y,FMNH 95508,"Suriname, Nickerie",,m/prime,6.74,5.02,na,na,na,na,15.44,18.62,22.21,22.91,20.08,,11.94,2.14,17.88,2.5,21.81,2.87,22.9,2.77,18,2.38,,na,na,na,na,,na,na,na,na,na,,7.21,6.21,,25.58,34.7,37.8,40,39.6,,na,na,20.36,2.25,22.2,2.65,23.07,2.93,18.82,2.38,,na,na,na,na,,na,na,na,na,na,,7.36,8.08,,,,,7.73,7.76,5.3,,,,,
"Boyer, D",Platyrrhini,Pithecia pithecia,,,yes,yes,,,y,y,y,n,y,y,y,n,y,y,FMNH 95509,"Suriname, Nickerie",,"m/dental adult, open epiphyses",6.8,4.6,3.49,3.36,3.43,3.53,13.71,16.3,20.75,20.98,18.4,,11.17,1.84,15.89,2.18,20,2.42,21.09,2.32,15.99,2.11,,na,14.84,16.17,11.86,,na,na,na,na,na,,5.57,5.84,,23.81,33.33,36.05,37.97,36.1,,na,na,18.88,2.03,20.22,2.3,21.46,2.38,17.09,1.88,,12.5,14.95,16.33,na,,na,na,na,na,na,,6.07,6.38,,,,,7.37,7.55,4.87,,,,,
"Boyer, D",Platyrrhini,Pithecia pithecia,,,yes,yes,,,y,y,n,n,y,y,n,n,y,y,FMNH 95510,"Suriname, Nickerie",,f/prime,7.24,4.5,3.5,3.3,3.8,3.46,15.68,19.5,23.05,23.68,21.3,,na,na,18.2,2.3,21.77,2.76,22.75,2.85,18.14,2.32,,na,na,na,na,,na,na,na,na,na,,6.53,6.32,,26.24,34.6,38.2,39.2,39.13,,na,na,20.5,2.06,21.69,2.45,22.85,2.56,18.83,2.14,,na,na,na,na,,na,na,na,na,na,,6.9,7.43,,,,,7.18,7.92,4.84,,,,,
"Boyer, D",Platyrrhini,Pithecia pithecia,,,,,,,y,y,y,y,y,y,y,y,y,y,,,,,9.14,5.65,,,,,16.75,21.38,23.94,23.86,21.51,,13.37,2.87,18.15,3.66,20.79,3.78,20.99,3.79,17.18,3.22,,10.7,14.28,15.5,12.11,,8.96,5.72,6.56,7.13,6.23,,7.5,8,,23.3,37.4,38.7,39.2,41.5,,13.62,2.84,19.54,3.09,21.16,3.54,21.7,3.75,18.6,3.05,,12.2,14.5,15.57,12.34,,9.67,6.84,7.53,7.8,6.61,,7.88,7.98,,,,,7.99,8.02,5.46,,,,,
"Lemelin, P",Platyrrhini,Saguinus midas,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,AIZU 7163,,,Male,nm,nm,nm,nm,nm,nm,9.33,14.09,14.89,14.08,12.11,,9.24,nm,11.12,nm,11.56,nm,11.1,nm,9.59,nm,,6.99,7.48,7.21,6.06,,nm,nm,nm,nm,nm,,nm,nm,,12.29,22.53,23.71,24.85,24.07,,7.33,nm,11.37,nm,12.11,nm,12.21,nm,10.28,nm,,6.28,7.66,7.72,6.15,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,
"Lemelin, P",Platyrrhini,Saguinus midas,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,AIZU 7657,,,Female,nm,nm,nm,nm,nm,nm,9.5,12.66,13.81,13.19,11.31,,8.77,nm,10.51,nm,10.8,nm,10.85,nm,9.56,nm,,6,6.98,6.87,5.87,,nm,nm,nm,nm,nm,,nm,nm,,12.11,20.39,22.32,23.69,22.47,,6.86,nm,10.79,nm,11.61,nm,11.47,nm,10.47,nm,,5.68,7.3,7.3,6.51,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,
"Lemelin, P",Platyrrhini,Saguinus midas,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,AIZU 7794,,,Female,nm,nm,nm,nm,nm,nm,9.65,13.74,15.07,14.55,12.26,,9.47,nm,11.18,nm,11.68,nm,11.45,nm,9.76,nm,,6.34,7.1,7.15,5.86,,nm,nm,nm,nm,nm,,nm,nm,,12.41,22.12,24,25.53,24.08,,7.13,nm,11.45,nm,12.31,nm,12.23,nm,10.99,nm,,6.1,7.41,7.59,6.68,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,
"Lemelin, P",Platyrrhini,Saguinus midas,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,AIZU 7823,,,Male,nm,nm,nm,nm,nm,nm,9.26,12.76,13.57,12.87,11.46,,8.83,nm,10.54,nm,10.88,nm,10.95,nm,9.1,nm,,6.03,6.87,6.98,5.97,,nm,nm,nm,nm,nm,,nm,nm,,11.83,20.38,21.65,23.29,22.33,,6.87,nm,10.55,nm,11.4,nm,11.25,nm,10.03,nm,,5.73,6.86,7.31,6.41,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,
"Lemelin, P",Platyrrhini,Saguinus midas,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,AIZU 8676,,,Male,nm,nm,nm,nm,nm,nm,9.97,12.48,13.34,13.18,11.32,,8.77,nm,10.68,nm,11.58,nm,11.23,nm,9.65,nm,,6.35,7.42,7.47,5.97,,nm,nm,nm,nm,nm,,nm,nm,,11.91,20.35,22.78,24.51,23.23,,7.66,nm,11.5,nm,12.47,nm,12.47,nm,10.86,nm,,6.33,7.76,7.82,6.26,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,
"Lemelin, P",Platyrrhini,Saguinus midas,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,MCZH 7110,,,,nm,nm,nm,nm,nm,nm,10.56,14.4,15.59,15.23,12.59,,9.16,nm,11.2,nm,12.2,nm,11.66,nm,9.7,nm,,6.53,7.46,7.11,5.91,,nm,nm,nm,nm,nm,,nm,nm,,12.4,22.4,24.64,26.16,21.86,,7.03,nm,11.57,nm,12.47,nm,12.5,nm,10.94,nm,,6.49,7.92,8.02,6.37,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,
"Lemelin, P",Platyrrhini,Saguinus midas,,yes,yes,yes,yes,yes,y,y,y,n,n,n,n,n,n,n,NMNH 267590,,,Male,4.6,2.76,,could not find,,,8.16,11.93,12.87,10.29,10.35,,7.87,nm,9.87,nm,10.29,nm,10.3,nm,8.74,nm,,5.65,6.35,6.32,5.56,,nm,nm,nm,nm,nm,,nm,nm,,na,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,,na,na,na,na,na,,nm,nm,,,,,nm,nm,nm,,,,,
"Lemelin, P",Platyrrhini,Saguinus midas,,yes,yes,yes,yes,yes,y,y,y,n,n,n,n,n,n,n,NMNH 549522,,,Male,4.62,2.96,2.35,2.03,2.14,1.56,9.4,12.68,13.94,13.61,11.22,,8.67,nm,10.2,nm,11.18,nm,10.94,nm,9.62,nm,,5.69,6.9,7.1,6.11,,nm,nm,nm,nm,nm,,nm,nm,,na,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,,na,na,na,na,na,,nm,nm,,,,,nm,nm,nm,,,,,
"Lemelin, P",Platyrrhini,Saguinus oedipus,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,AIZU 8520,,,Male,nm,nm,nm,nm,nm,nm,10,12.65,13.63,13.38,11.42,,8.35,nm,10.75,nm,11.23,nm,11.19,nm,9.51,nm,,5.79,6.59,6.71,5.26,,nm,nm,nm,nm,nm,,nm,nm,,11.83,20.76,23.1,24.79,23.91,,6.98,nm,11.69,nm,12.48,nm,12.45,nm,11.06,nm,,5.51,7.02,7.52,6.31,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,
"Lemelin, P",Platyrrhini,Saguinus oedipus,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,AIZU AS 1070,,,,nm,nm,nm,nm,nm,nm,10.16,13.19,14.58,14.27,11.74,,9.43,nm,11.03,nm,12.02,nm,11.73,nm,10.2,nm,,5.97,6.72,6.57,5.78,,nm,nm,nm,nm,nm,,nm,nm,,10.2,21.3,23.9,25.54,23.82,,7.65,nm,11.92,nm,12.49,nm,12.97,nm,10.66,nm,,6.02,7.73,7.17,6.22,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,
"Lemelin, P",Platyrrhini,Saguinus oedipus,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,AIZU AS 1778,,,,nm,nm,nm,nm,nm,nm,10.15,14.93,14.61,14.48,12.53,,9.68,nm,11.16,nm,12.57,nm,12.45,nm,10.47,nm,,6.48,7.52,7.48,6.12,,nm,nm,nm,nm,nm,,nm,nm,,12.74,21.7,24.46,26.35,25.01,,8.16,nm,11.99,nm,13.07,nm,13.11,nm,11.31,nm,,6.68,8.01,8.42,6.2,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,
"Lemelin, P",Platyrrhini,Saguinus oedipus,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,AIZU AS 1797,,,,nm,nm,nm,nm,nm,nm,9.11,12.39,13.41,13.4,10.94,,7.4,nm,9.61,nm,10.46,nm,10.33,nm,8.62,nm,,4.56,5.97,6.18,4.76,,nm,nm,nm,nm,nm,,nm,nm,,10.41,18.65,22.04,23.73,21.13,,6.85,nm,10.04,nm,10.94,nm,10.74,nm,9.27,nm,,5.62,6.21,6.65,5.62,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,
"Boyer, D",Platyrrhini,Saguinus oedipus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 104898,zoo,,f/prime,5.32,2.64,2.6,2.04,2.15,1.83,11.2,13.3,14.9,14.86,13.2,,9.39,1.31,11.75,1.31,12.68,1.36,12.28,1.35,10.4,1.32,,6.7,7.58,7.22,6.3,,5.96,5.73,6.07,6.3,5.66,,4.13,3.58,,13.32,22.36,25.46,26.56,25.42,,7.96,1.18,12.64,1.16,13.6,1.34,13.49,1.35,11.53,1.21,,6.3,7.83,8.2,6.78,,4.02,5.72,6.29,6.67,6.03,,3.91,4.21,,,,,4.1,4.4,2.73,,,,,
"Boyer, D",Platyrrhini,Saguinus oedipus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 135742,zoo,,f/prime,5.5,3.2,2.74,2.19,2.5,1.87,11.3,13.3,14.8,14.57,12.3,,9.8,1.24,12.15,1.29,13.14,1.36,12.83,1.37,10.7,1.45,,7.07,7.66,7.8,6.39,,6.1,6.05,6.4,6.55,6.4,,3.63,3.96,,12.63,22.9,25.14,26.43,25.5,,8.4,1.14,13.3,1.33,14.3,1.47,14.14,1.38,12.11,1.37,,7.05,8.3,8.6,7.2,,4.95,5.7,7,7.2,6.2,,4.18,4.34,,,,,4.35,4.16,3.16,,,,,
"Boyer, D",Platyrrhini,Saguinus oedipus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 174402,zoo,,m/dentally senescent,5.47,2.8,2.33,2,2,1.65,10.13,12.7,14.45,13.86,13.09,,8.9,1.29,11.33,1.28,12.31,1.38,11.98,1.26,10.08,1.35,,6.04,7.21,7.53,5.9,,5.83,5.88,6.13,6.25,5.83,,4.26,4.06,,12.67,22.19,24.85,25.75,26.08,,7.95,1.07,12.33,1.28,13.03,1.49,13.07,1.47,11.24,1.33,,5.6,7.88,8.16,6.67,,4.62,5.89,6.46,6.7,6.3,,4.22,4.08,,,,,3.71,4,3.1,,,,,
"Lemelin, P",Platyrrhini,Saguinus oedipus,,yes,yes,yes,yes,yes,y,y,y,n,n,n,n,n,n,n,NMNH 49389,,,,5.27,2.88,2.45,1.95,2.32,1.82,10.29,12.45,14.59,14.78,12.39,,9.05,nm,11.24,nm,12.2,nm,11.71,nm,9.94,nm,,6.25,6.55,7.08,6.07,,nm,nm,nm,nm,nm,,nm,nm,,na,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,,na,na,na,na,na,,nm,nm,,,,,nm,nm,nm,,,,,
"Lemelin, P",Platyrrhini,Saguinus oedipus,,yes,yes,yes,yes,yes,y,y,y,n,n,n,n,n,n,n,NMNH 501108,,,,,too ligamentous,2.52,2.04,2.16,1.8,10.24,13.16,14.6,14.64,12.98,,9.17,nm,11.02,nm,12.34,nm,11.73,nm,9.94,nm,,6.82,6.85,6.84,5.85,,nm,nm,nm,nm,nm,,nm,nm,,na,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,,na,na,na,na,na,,nm,nm,,,,,nm,nm,nm,,,,,
"Lemelin, P",Platyrrhini,Saguinus oedipus,,yes,yes,yes,yes,yes,y,y,y,n,n,n,n,n,n,n,NMNH 501111,,,,,too ligamentous,2.43,2.08,2.21,1.84,10.42,13.75,14.65,14.4,12.34,,8.81,nm,11.46,nm,12.31,nm,11.57,nm,10.02,nm,,5.41,6.74,7.01,6.36,,nm,nm,nm,nm,nm,,nm,nm,,na,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,,na,na,na,na,na,,nm,nm,,,,,nm,nm,nm,,,,,
"Lemelin, P",Platyrrhini,Saguinus oedipus,,,yes,yes,yes,yes,y,y,y,n,y,y,y,n,n,n,RMNH 1867(5),,,,nm,nm,nm,nm,nm,nm,9.9,12.54,13.22,13.45,11.8,,8.44,nm,10.8,nm,11.49,nm,11.31,nm,9.77,nm,,5.92,6.98,7.2,5.54,,nm,nm,nm,nm,nm,,nm,nm,,11.85,19.29,21.87,23.13,22.13,,7.19,nm,11.88,nm,12.69,nm,12.74,nm,10.85,nm,,5.69,7.22,7.66,5.94,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,
"Boyer, D",Platyrrhini,Saimiri boliviensis boliviensis,,yes,,yes,,,y,y,y,y,n,n,n,n,y,n,FMNH 178027 (L) ,zoo,,m/prime,5.36,3.04,2.88,2.72,2.34,2.66,11.62,16.83,17.15,15.42,12.95,,7.93,1.39,12.57,1.84,14.01,2.07,13.49,2.07,11.23,1.64,,8.09,9.57,9.69,7.66,,4.73,4.2,4.97,4.92,3.77,,4.94,5.13,,nm,nm,nm,nm,nm,,nm,nm,nm,nm,nm,nm,nm,nm,nm,nm,,nm,nm,nm,nm,,nm,nm,nm,nm,nm,,nm,nm,,,,,nm,nm,nm,,,,,
"Boyer, D",Platyrrhini,Saimiri boliviensis boliviensis,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 178027 (R) ,zoo,,m/prime,5.09,3.34,2.88,2.72,2.34,2.66,11.7,15.81,16.52,15.65,12.98,,8.18,1.58,12.66,1.9,13.1,na,13.09,2.12,10.88,1.86,,7.83,9.77,9.75,7.04,,4.28,4.2,4.9,4.85,4.01,,4.81,5.06,,16.58,26.97,28.73,29.25,29.61,,9.02,1.85,13.17,1.72,14.49,1.99,14.62,2.03,11.91,1.79,,7.99,10.26,10.88,8.17,,4.99,6.12,5.84,5.51,4.56,,4.67,5.54,,,,,4.94,5.27,3.33,,,,,
"Boyer, D",Platyrrhini,Saimiri sciureus,,,yes,,,,y,y,y,n,y,y,y,y,y,y,BAA 0183,?,,m/prime,5.96,3.99,na,na,na,na,12.1,16.7,17.07,16.28,13.26,,8.83,1.71,13.22,1.89,14.27,2.06,13.7,2.07,11.43,1.59,,8.4,10.16,10.22,7.67,,4.5,4.13,na,5.12,na,,4.81,5.16,,17.84,26.19,27.9,28.62,28.65,,9.47,1.9,14.23,1.55,15.15,1.87,15.42,1.88,12.63,1.43,,9.01,10.66,10.87,7.99,,5.07,6.32,5.75,5.67,4.52,,5.31,5.65,,,,,5.12,5.64,3.55,,,,,
"Boyer, D",Platyrrhini,Saimiri sciureus,,,yes,yes,,,y,y,n,n,y,y,n,n,y,y,BAA no# (Kay coll.),lab,,?/prime,5.03,2.98,2.82,2.77,2.32,2.49,10.69,15.23,15.3,14.1,11.6,,8.05,1.42,11.26,1.73,12.34,1.96,12.03,1.99,9.24,1.41,,na,na,na,na,,4.03,na,na,na,na,,4.15,4.09,,15.39,24.16,26.58,27.05,27.17,,8.3,1.71,12.34,1.35,13.15,1.75,13.36,1.82,10.75,1.3,,na,na,9.3,na,,4.55,na,na,na,na,,4.44,5.02,,,,,4.82,4.82,3.38,,,,,
"Boyer, D",Platyrrhini,Saimiri sciureus,,,,,,,y,y,y,y,y,y,y,y,y,y,BAA no# (Kay coll.),?,,m/older-prime,5.8,3.63,na,na,na,na,11.1,16.5,17.1,15.8,12.6,,9.13,1.67,13.22,2.05,14.3,2.37,14.18,2.24,11.68,1.86,,8.53,9.96,10.2,7.52,,4.62,4.08,5.25,5.19,3.82,,5.1,5.5,,17.18,26.35,28.24,28.87,28.12,,9.14,1.96,13.85,1.81,15,2.13,15.25,2.08,13.35,1.75,,7.89,10.4,10.79,8.75,,4.85,6.47,6.23,5.59,4.18,,5.48,5.79,,,,,5.46,6.17,4.63,,,,,
"Boyer, D",Platyrrhini,Saimiri sciureus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 101750,zoo,,?/prime,5.25,3.72,2.79,2.8,2.42,2.59,11.05,15.19,15.33,14.74,11.87,,7.91,1.6,10.96,1.88,12.55,2.08,12.5,2.23,10.21,1.82,,7.44,9.33,9.23,7.03,,4.31,3.96,4.39,4.47,3.56,,4.63,5.14,,15.47,24.44,26.02,26.84,26.67,,8.38,1.98,12.13,1.53,13.45,1.89,13.44,1.89,11.2,1.6,,7.89,9.1,9.6,7.09,,4.36,5.8,5.3,4.94,4.51,,4.89,5.25,,,,,4.97,4.81,3.42,,,,,
"Boyer, D",Platyrrhini,Saimiri sciureus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 47931,zoo,,m/prime,4.94,3.52,3.11,2.73,2.52,2.6,11.96,16.82,17.09,15.54,13.74,,8.94,1.49,12.91,1.97,14.44,2.17,14.5,2.15,11.51,1.7,,8.59,10.26,11.03,7.76,,4.54,4.04,4.55,4.75,3.88,,4.52,4.7,,17.57,27.26,29.03,30.28,29.98,,9.13,1.82,14.14,1.55,15.24,1.94,15.49,1.83,12.93,1.66,,8.63,10.9,11.41,8.43,,4.64,5.46,5.25,5.2,4.4,,4.42,4.83,,,,,5.12,5.2,3.73,,,,,
"Boyer, D",Platyrrhini,Saimiri sciureus,,,yes,yes,yes,yes,y,y,n,n,y,y,y,n,n,n,USNM 398040,,,,5.05,3.3,na,na,na,na,11.28,16.21,16.01,14.9,12.43,,9.17,1.76,na,na,13.3,2.11,13.75,2.07,11.32,1.68,,na,na,na,na,,na,na,na,na,na,,unprocessed,unprocessed,,16.3,27.9,28.7,29.47,28.81,,9.13,1.72,na,na,14.57,1.93,14.13,1.64,12.34,1.74,,na,10.76,9.28,7.75,,na,na,na,na,na,,unprocessed,unprocessed,,,,,unprocessed,unprocessed,unprocessed,,,,,
"Boyer, D",Platyrrhini,Saimiri sciureus boliviensis,,,,,,,y,y,y,y,y,y,y,y,y,y,BAA 0143,tulsa zoo,,F/prime,5.8,3.33,na,na,na,na,11.1,15.65,16.04,15.1,13.07,,7.79,1.48,12.49,1.54,13.45,1.73,12.92,1.81,10.7,1.42,,7.86,9.62,9.63,7.6,,4.45,3.91,4.57,4.59,3.8,,4.1,4.49,,16.09,25.98,27.23,28.03,28.75,,8.85,1.57,13.17,1.43,14.49,1.61,14.16,1.73,12.64,1.46,,8.35,10.25,10.62,8.34,,4.61,5.58,5.55,5.46,4.36,,4.92,4.98,,,,,4.6,4.9,3.17,,,,,
"Boyer, D",Platyrrhini,Saimiri sp.,yes,,yes,,yes,yes,n,n,n,n,y,y,y,y,n,n,BAA misc foot,,"from skin, fully articulated",?/open epiphyses,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,,na,na,na,na,na,,na,na,,14.15,22.48,24.49,25.07,24.8,,7.69,1.79,11.94,1.45,13.2,1.64,13.15,1.69,10.59,1.55,,7.25,8.96,9.04,6.01,,4.21,5.32,4.93,4.61,3.66,,na,na,,,,,4.6,5.03,3.43,,,,,
"Boyer, D",Platyrrhini,Saimiri sp.,yes,,yes,,yes,yes,n,n,n,n,y,y,y,y,n,n,BAA misc foot,,"from skin, fully articulated",?/open epiphyses,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,,na,na,na,na,na,,na,na,,16.22,24.3,26.37,27.28,26.92,,8.39,1.69,13.18,1.41,14.2,1.83,14.06,1.78,11.44,1.31,,8,9.44,9.84,6.89,,4.68,5.13,5.01,4.72,3.62,,na,na,,,,,5.03,5,3.61,,,,,
"Boyer, D",Platyrrhini,Saimiri sp.,,yes,,yes,yes,yes,y,y,y,y,n,n,n,n,n,n,BAA misc hand,,"from skin, fully articulated",?/open epiphyses (pisiform apophysis fused),5.08,3.58,na,na,na,na,10.83,15.35,15.74,14.66,11.49,,8.13,1.75,11.88,1.94,12.92,2.09,12.41,2.05,9.67,1.78,,7.5,9.01,9.2,6.19,,4.03,4,4.51,4.53,3.65,,na,na,,na,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,,na,na,na,na,na,,na,na,,,,,na,na,na,,,,,
"Boyer, D",Platyrrhini,Saimiri sp.,,yes,,yes,yes,yes,y,y,y,y,n,n,n,n,n,n,BAA misc hand,,"from skin, fully articulated",?/open epiphyses (pisiform apophysis unfused),4.47,2.99,na,na,na,na,9.53,13.64,13.78,13.15,10.67,,7.28,1.34,10.82,1.6,12.12,1.83,11.63,1.79,9.26,1.34,,6.9,8.47,8.69,6.37,,3.81,3.43,4.15,4.16,3.21,,na,na,,na,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,,na,na,na,na,na,,na,na,,,,,na,na,na,,,,,
"Boyer, D",Platyrrhini,Saimiri sp.,,,,,,,y,y,y,y,y,y,y,y,y,y,DPC 063,?,,?/adult,5.44,3.6,na,na,na,na,10.9,15.89,16.9,15.15,12.05,,8.68,1.54,13.15,1.76,14.26,1.84,14.1,1.84,11.66,1.58,,8.02,9.76,10.02,7.28,,4.87,4.2,4.5,4.58,3.93,,4.26,4.27,,16.26,26.9,28.55,28.7,28.97,,9.04,1.71,14.07,1.6,15.26,1.72,15.06,1.87,12.7,1.51,,8.15,9.55,10.6,7.65,,5.27,6.13,5.32,5.67,4.55,,4.74,4.86,,,,,4.89,5.18,3.70,,,,,
"Boyer, D",Scandentia,Ptilocercus,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 57450,,,,1.8,1.27,,,,,3.63,5.53,6.36,5.91,4.44,,3.58,0.62,4.76,0.55,5,0.6,5.03,0.55,4.73,0.57,,2.95,3.37,3.36,2.98,,2.25,2.18,2.23,2.28,2.18,,1.99,2.04,,6.07,8.91,9.04,8.7,7.64,,3.56,0.67,5.78,0.59,5.74,0.65,6.12,0.57,6.46,0.57,,3.77,3.92,4.3,4.3,,2.37,2.92,2.93,3.3,3.1,,1.97,2.14,,,,,1.34,1.42,1.22,,,,,
"Boyer, D",Scandentia,Ptilocercus,,,,,yes,yes,y,y,y,y,y,y,y,y,n,n,USNM 488055,,,,1.93,1.27,2.46,1.69,2.52,1.79,3.42,5.36,6.17,5.7,4.29,,3.56,0.55,4.64,0.59,4.88,0.59,4.9,0.59,4.67,0.58,,3.02,3.57,3.49,3.14,,2.16,1.9,2.01,1.98,1.89,,na,na,,5.89,8.95,8.87,8.42,7.73,,3.5,0.62,5.47,0.62,5.61,0.55,5.87,0.52,6.12,0.55,,3.76,4.23,4.43,4.49,,2.16,2.41,2.79,2.95,2.72,,na,na,,,,,1.4,1.33,1.24,,,,,
"Boyer, D",Scandentia,Ptilocercus,,,,,yes,yes,y,y,y,y,y,y,y,y,n,n,USNM 488067,,digit IV int phal broken,,1.84,1.29,nm,nm,nm,nm,3.22,5.022,5.62,5.16,3.97,,3.28,0.63,4.29,0.58,4.49,0.63,4.45,0.58,4.23,0.58,,2.92,3.26,3.17,2.84,,2.06,2,2.07,1.97,1.96,,na,na,,5.39,8.35,8.18,7.7,6.86,,3.12,0.6,5.04,0.58,5.25,0.55,5.47,0.54,5.69,0.53,,3.39,3.69,4.03,4.02,,NA,2.4,2.7,2.8,2.78,,na,na,,,,,1.29,1.36,1.2,,,,,
"Boyer, D",Scandentia,Ptilocercus,,,,,yes,yes,y,y,y,y,y,y,y,y,n,n,USNM 488069,,,,1.86,1.22,nm,nm,nm,nm,3.22,5.1,5.96,5.37,4.13,,3.37,0.56,4.37,0.54,4.72,0.57,4.69,0.53,4.45,0.53,,2.79,3.26,3.27,2.92,,1.97,1.81,1.97,1.9,1.85,,na,na,,5.43,8.53,8.53,8.07,7.27,,3.46,0.6,5.16,0.57,5.41,0.54,5.66,0.52,5.93,0.54,,3.46,3.88,4.16,4.28,,nm,2.48,2.66,2.71,2.76,,na,na,,,,,1.32,1.37,1.23,,,,,
"Boyer, D",Scandentia,Tupaia glis,,,,,yes,yes,y,y,y,y,y,y,y,y,n,n,AMNH 212952,,,?/prime,2.11,1.88,3.53,2.52,3.35,2.35,4.19,7.68,9.65,8.73,5.85,,3.8,0.71,5.03,0.85,5.33,0.91,5.22,0.9,4.42,0.88,,3.27,3.5,3.57,2.72,,2.93,2.96,2.86,3.07,2.73,,na,na,,10.4,15.7,16.55,16.67,14.1,,5.21,0.92,6.95,1.18,6.83,1.11,6.73,1.07,5.97,0.97,,4.46,4.47,4.65,3.81,,3.06,3.74,3.43,3.65,3.6,,na,na,,,,,3.05,2.67,2.29,,,,,
"Boyer, D",Scandentia,Tupaia glis,,,,,,,y,y,y,y,y,y,y,y,y,y,DPC 038,,,?/prime,2.25,1.89,3.45,2.39,3.07,2.14,5.07,8.8,10.42,9.32,6.49,,4.11,0.73,5.24,0.83,5.46,0.83,5.48,0.91,4.63,0.85,,3.37,3.63,3.69,2.92,,3.43,3.55,3.7,3.6,3.24,,2.62,2.22,,10.9,16.32,17.04,16.88,14.51,,5.48,0.86,7.13,1.04,7.07,1.09,7.17,1.02,6.22,0.86,,4.51,4.46,4.75,3.97,,4.32,4.44,4.41,4.46,3.83,,2.68,2.93,,,,,2.69,2.5,2.49,,,,,
"Boyer, D",Scandentia,Tupaia glis,,,,,,,y,y,y,y,y,y,y,y,y,y,EA 0174,,,?/prime,2.5,1.71,3.06,1.92,3,1.82,4.27,6.81,8.41,7.73,5.47,,3.25,0.71,3.97,0.65,4.22,0.71,4.36,0.71,3.76,0.67,,2.91,3.2,3.22,2.25,,2.33,2.65,2.85,2.69,2.24,,1.91,1.91,,8.64,13.27,14.45,13.97,12.19,,4.71,0.74,5.76,0.88,5.59,0.88,5.78,0.91,4.83,0.75,,3.65,3.68,3.72,3.1,,na,3.63,3.8,3.56,3.6,,2.16,2.44,,,,,2.44,2.11,1.78,,,,,
